Component,Sub-component,Variable,Measure,Country,ISO Code,Year,Value
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Malta,MLT,2020,0.362389692
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Mauritius,MUS,2020,0.329713191
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Mozambique,MOZ,2020,0.259223537
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Namibia,NAM,2020,0.315414913
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Nauru,NRU,2020,0.2875
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,New Zealand,NZL,2020,0.336007971
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Nigeria,NGA,2020,0.19323343
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Pakistan,PAK,2020,0.208008151
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Papua New Guinea,PNG,2020,0.243090542
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Rwanda,RWA,2020,0.261570277
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Saint Kitts and Nevis,KNA,2020,0.35906236
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Saint Lucia,LCA,2020,0.392695846
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Saint Vincent and the Grenadines,VCT,2020,0.387963378
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Seychelles,SYC,2020,0.268713782
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Sierra Leone,SLE,2020,0.253585342
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Singapore,SGP,2020,0.505350361
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,South Africa,ZAF,2020,0.320965728
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Eswatini,SWZ,2020,0.184903614
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Togo,TGO,2020,0.252967788
Service Delivery,Cancer Treatment,dx 0 stage 3,Mean,Tonga,TON,2020,0.359844531
